Mark_info;Model_info;Year;Price_segment;Transmission;Gear_type;Fuel_rate;Vendor_country;Region;Mileage;Horse_power;Owners_number;Body_type;PTS;Color_hex;Salon;Count_doors;Auto_class;Trunk_volume_min;Price_rub
Volkswagen;Passat;2008;MEDIUM;AUTOMATIC;FORWARD_CONTROL;8.2;EUROPEAN;Екатеринбург;143000;160;3;SEDAN;True;C49648;False;4;D;565;325000
Mitsubishi;Colt;2008;ECONOMY;ROBOT;FORWARD_CONTROL;5.6;JAPANESE;Пятигорск;105000;95;1;HATCHBACK_5_DOORS;True;97948F;False;5;B;155;300000
Nissan;Almera;2014;ECONOMY;MECHANICAL;FORWARD_CONTROL;7.2;JAPANESE;Верхняя Пышма;72000;102;1;SEDAN;True;CACECB;False;4;B;500;440000
Audi;A4;2019;PREMIUM;ROBOT;FORWARD_CONTROL;4.9;EUROPEAN;Москва;0;150;NaN;SEDAN;True;FAFBFB;True;4;D;480;2050000
Audi;A4;2008;PREMIUM;VARIATOR;FORWARD_CONTROL;7.1;EUROPEAN;Прохладный;200000;160;3;SEDAN;True;FAFBFB;False;4;D;480;480000
Mercedes-Benz;GLS;2016;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;7.6;EUROPEAN;Москва;81000;249;2;ALLROAD_5_DOORS;True;0000CC;False;5;J;680;3700000
Porsche;Macan;2015;PREMIUM;ROBOT;ALL_WHEEL_DRIVE;9;EUROPEAN;Москва;52611;340;1;ALLROAD_5_DOORS;True;0000CC;False;5;J;500;2500000
Volkswagen;Polo;2020;ECONOMY;AUTOMATIC;FORWARD_CONTROL;5.9;EUROPEAN;Санкт-Петербург;0;110;NaN;SEDAN;True;FAFBFB;True;4;B;460;901900
BMW;i3;2018;PREMIUM;AUTOMATIC;REAR_DRIVE;NaN;EUROPEAN;Санкт-Петербург;35000;170;1;HATCHBACK_5_DOORS;True;97948F;False;5;B;260;3506549
Toyota;Highlander;2014;MEDIUM;AUTOMATIC;ALL_WHEEL_DRIVE;10.6;JAPANESE;Краснодар;77000;249;2;ALLROAD_5_DOORS;True;97948F;False;5;J;391;1950000
Datsun;on-DO;2017;ECONOMY;MECHANICAL;FORWARD_CONTROL;7;JAPANESE;Санкт-Петербург;37000;87;1;SEDAN;True;200204;False;4;B;530;349000
Rolls-Royce;Wraith;2017;PREMIUM;AUTOMATIC;REAR_DRIVE;14.6;EUROPEAN;Москва;6900;632;2;COUPE;True;040001;False;2;F;470;16900000
Kia;Stinger;2018;MEDIUM;AUTOMATIC;ALL_WHEEL_DRIVE;9.2;KOREAN;Вологда;13088;247;1;LIFTBACK;True;FAFBFB;True;5;D;406;2145000
Volkswagen;Polo;2020;ECONOMY;MECHANICAL;FORWARD_CONTROL;5.8;EUROPEAN;Санкт-Петербург;0;110;NaN;SEDAN;True;22A0F8;True;4;B;460;902900
Skoda;Roomster;2007;MEDIUM;MECHANICAL;FORWARD_CONTROL;5.1;EUROPEAN;Новомосковск;235000;79;3;COMPACTVAN;True;97948F;False;5;M;450;270000
Nissan;Maxima;1996;MEDIUM;AUTOMATIC;FORWARD_CONTROL;NaN;JAPANESE;Москва;190000;140;3;SEDAN;False;97948F;False;4;E;440;76000
Kia;Rio;2017;MEDIUM;AUTOMATIC;FORWARD_CONTROL;5.9;KOREAN;Москва;75000;107;2;SEDAN;True;FAFBFB;False;4;B;500;490000
Mercedes-Benz;GLS;2018;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;7.6;EUROPEAN;Санкт-Петербург;38000;249;1;ALLROAD_5_DOORS;True;040001;False;5;J;680;4550000
